source_id,url,source_type,capture_date,capture_method,travel_state_label,what_was_extracted,confidence,review_required,notes
SRC-009,https://www.constructionequipment.com/home/product/10751634/grove-grove-gmk5150-gmk5150l-all-terrain-cranes,industry-news,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),Width 2.75 m; compact length; corroborates capacity and class,medium,false,
SRC-010,https://www.kirby-smith.com/products/details/grove-gmk5150l1,hire/sales company (USA),2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK5150L-1 marketing description; EUROMOT 5/Tier 4 final; fuel efficiency,low-medium,false,Not Australian; for spec context only.
SRC-011,https://www.wgccranes.com.au/uploads/default/files/gmk-5150l-grove.pdf,hire company (AU),2026-05-11,Reference only (not fetched),(parent record),"Australian-hosted GMK5150L Product Guide '150 t 60 m 33,8 m 97 m'",low,true,"REVIEW REQUIRED. Could not be fetched (403). URL pattern indicates an Australian crane company hosting the Grove product guide — this is the highest-priority document to confirm L-vs-L-1 travel states from outside this sandbox."
SRC-012,https://www.raptortechinc.com/wp-content/uploads/2020/07/grove-gmk5150l.pdf,secondary (USA),2026-05-11,Reference only (not fetched),(parent record),GMK5150L Load Chart and Specifications PDF,low,true,"REVIEW REQUIRED. Could not be fetched (403)."
SRC-013,https://www.crofton.com/wp-content/uploads/2020/04/Grove-GMK-5150L.pdf,secondary (USA),2026-05-11,Reference only (not fetched),(parent record),GMK5150L Load Chart PDF,low,true,"REVIEW REQUIRED. Could not be fetched (403)."
SRC-014,https://www.borgercranes.com/crane-fleet/crane.php?id=67,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(parent record),Borger Cranes lists Grove GMK5150L in fleet,low,false,AU operator listing; fleet page contents not extracted.

SRC-020,https://cranepedia.com/spec/all-terrain-crane/grove-gmk4100l-1/,secondary,2026-05-11,WebSearch (WebFetch blocked 403),GMK4100L-1 configurable counterweight (26.2 t — axle basis unspecified),Grove GMK4100L-1: 100 t capacity; counterweight 0.8-26.2 t; boom 60 m; jib 18 m + 8 m ext; L 13.180 m W 2.550 m H 3.860 m,medium,true,"REVIEW REQUIRED on travel-state automation. Per-axle-limit basis not extracted."
SRC-021,https://cranemarket.com/specs/grove/gmk4100l-1,marketplace,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK4100L-1 specs corroborating 100 t,medium,false,
SRC-022,https://www.bigge.com/crane-information/grove-gmk4100l-1/,hire/sales company (USA),2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK4100L-1 overview,medium,false,
SRC-023,https://www.liebherr.com/en-int/mobile-and-crawler-cranes/mobile-cranes/ltm-mobile-cranes/ltm-1150-5-3-5387264,manufacturer,2026-05-11,WebSearch (WebFetch blocked 403),LTM 1150-5.3 12 t/axle public roads (9.0 t — single source),"LTM 1150-5.3: 150 t; 66 m boom; 'nine tonnes of ballast on public roads' at 12 t axle load",low-medium,true,"REVIEW REQUIRED. Single source via search summary; Liebherr LTM 1150-5.3 product brochure should confirm before automation."
SRC-024,https://cranepedia.com/spec/all-terrain-crane/liebherr-ltm-1150-5-3/,secondary,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),LTM 1150-5.3 corroborates 150 t and 66 m boom,medium,false,
SRC-025,https://cranemarket.com/specs/liebherr/ltm-1100-5-2,marketplace,2026-05-11,WebSearch (WebFetch blocked 403),(parent record — no travel state),LTM 1100-5.2: 100 t; 35 t total counterweight; 5-axle; 10x8x10 drive,medium,true,"REVIEW REQUIRED on travel-state automation. Roadable counterweight value and axle basis not extracted."
SRC-026,https://www.lectura-specs.com/en/model/cranes/all-terrain-cranes-liebherr/ltm-1100-5-2-1148030,secondary,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),LTM 1100-5.2 specs and dimensions (production 2007-2022),medium,false,
SRC-026B,https://www.liebherr.com/en-int/mobile-and-crawler-cranes/mobile-cranes/ltm-mobile-cranes/ltm-1160-5-2-5387265,manufacturer,2026-05-11,WebSearch (WebFetch blocked 403),(parent record — no travel state),LTM 1160-5.2: 200 USt (180 mt) capacity; 5-axle; main boom 13.1-62 m; VarioBallast variable ballast radius,medium,true,"REVIEW REQUIRED. Roadable ballast value not cleanly extracted from search summaries; do NOT seed travel-state automation until primary source confirms."
SRC-026C,https://cranemarket.com/specs/liebherr/ltm-1160-5-2,marketplace,2026-05-11,WebSearch (WebFetch blocked 403),(parent record — no travel state),LTM 1160-5.2 corroborates 5-axle 200 USt class with VarioBallast,medium,true,
SRC-027,https://group.tadano.com/uscan/en/lifting-equipment/all-terrain-cranes/ac-5-220l-1/,manufacturer,2026-05-11,WebSearch (WebFetch blocked 403),(parent record — no travel state),"AC 5.220L-1: 220 t; 70.2 t counterweight; 78-99 m boom; overall length 14.52 m carrier length 13.26 m; 'stays under 12 t axle load limit'",medium,true,"REVIEW REQUIRED. Carried counterweight in the 12 t/axle configuration not extracted; do NOT seed travel-state automation until confirmed."
SRC-028,https://www.bigge.com/crane-information/tadano-ac-5-220l-1/,hire/sales company (USA),2026-05-11,WebSearch (WebFetch blocked 403),(parent record),AC 5.220L-1 overview,medium,false,

SRC-040,https://www.nhvr.gov.au/road-access/mass-and-dimension/general-access-vehicle,NHVR,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),"GAV does not require permit; width limit 2.5 m excl. mirrors/CTIS/curtain-side devices; overall ≤2.55 m; substantial breach >40 mm excess",medium,true,"REVIEW REQUIRED. Verbatim source not read; quote derived from search snippet."
SRC-041,https://www.nhvr.gov.au/road-access/mass-and-dimension/dimension-requirements,NHVR,2026-05-11,Reference only (not fetched),(regulatory),NHVR dimension requirements page,low,true,Not directly readable.
SRC-042,https://www.nhvr.gov.au/road-access/mass-and-dimension/mass-limits,NHVR,2026-05-11,Reference only (not fetched),(regulatory),NHVR mass limits page,low,true,Not directly readable.
SRC-043,https://www.nhvr.gov.au/road-access/access-management/applications/oversize-overmass,NHVR,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),"OSOM = Class 1 'load-carrying vehicles' formally; pilot/escort review required for some movements; permit applications via NHVR Go except WA/NT",medium,true,
SRC-044,https://www.nhvr.gov.au/road-access/mass-dimension-and-loading,NHVR,2026-05-11,Reference only (not fetched),(regulatory),NHVR mass-dimension-and-loading reform landing page,low,true,
SRC-045,https://www.nhvr.gov.au/law-policies/hvnl-reform-implementation,NHVR,2026-05-11,Reference only (not fetched),(regulatory),HVNL reform implementation; 2026 amendments referenced,low,true,"Search results characterised reforms as still subject to ministerial approval. 1 July 2026 changes are in flight per the user."
SRC-046,https://www.nhvr.gov.au/C2026G00055-national-class-1-special-purpose-vehicle-up-to-40t-mass-mass-and-dimension-notice-2026-no1-operators-guide,NHVR,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),"National Class 1 SPV up to 40 t Notice 2026 No. 1; pilot rules by width ≤3.1 m no pilot / 3.1-3.5 m 2 pilots; night travel for mobile cranes",medium,true,"REVIEW REQUIRED. Cited verbatim by name and slug; specific thresholds derived from search summary not direct read."
SRC-047,https://www.nhvr.gov.au/files/media/document/456/202406-1080-nsw-class1-all-terrain-mobile-crane-and-dolly-combination-operators-guide_0.pdf,NHVR,2026-05-11,Reference only (not fetched),(regulatory),"NSW Class 1 All Terrain Mobile Crane and Dolly Operator's Guide; 'boom over crane' vs 'boom reversed'; IAP/TMA enrolment; SPV Level 2 network",medium,true,
SRC-048,https://www.nhvr.gov.au/C2026G00060-south-australia-class-1-2-axle-up-to-28t-articulated-steering-crane-mass-and-dimension-notice-2026-no1-operators-guide,NHVR,2026-05-11,Reference only (not fetched),(regulatory),SA Class 1 2-axle up to 28 t Crane Notice 2026 No. 1,medium,true,
SRC-049,https://www.nhvr.gov.au/C2026G00062-south-australia-class-1-6-axle-to-9-axle-crane-mass-and-dimension-exemption-notice-2026-no1-operators-guide,NHVR,2026-05-11,Reference only (not fetched),(regulatory),SA Class 1 6 to 9-axle Crane Notice 2026 No. 1,medium,true,
SRC-050,https://www.nhvr.gov.au/road-access/access-management/applications/special-purpose-vehicle-permit,NHVR,2026-05-11,Reference only (not fetched),(regulatory),SPV permit landing page,low,true,
SRC-051,https://www.nhvr.gov.au/law-policies/notices-and-permit-based-schemes/permit-based-schemes/victoria-6-to-9-axle-crane-permit-based-scheme,NHVR / VIC,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),VIC 6-to-9-axle crane permit-based scheme; GVM up to 108 t; published network access via NHVR permit,medium,true,
SRC-052,https://www.tmr.qld.gov.au/business-industry/heavy-vehicles/class-1-heavy-vehicle-access-regime/heavy-vehicle-industry/vehicles-included,QLD TMR,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),QLD Class 1 HVAMS staging for SPV Mobile Cranes (Stage 2/3); telematics under TMA mandatory,medium,true,
SRC-053,https://www.mainroads.wa.gov.au/heavy-vehicles/permit-order-scheme/,Main Roads WA,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),WA RAV/Permit Order Scheme; OSOM permits direct via Main Roads (not NHVR Go),medium,true,
SRC-054,https://www.transport.nsw.gov.au/operations/roads-and-waterways/business-and-industry/heavy-vehicles/road-access/mobile-cranes,Transport for NSW,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),NSW mobile crane access landing page,medium,true,
SRC-055,https://www.vicroads.vic.gov.au/business-and-industry/heavy-vehicle-industry/heavy-vehicle-map-networks-in-victoria/cl1-spv-osom,VicRoads,2026-05-11,Reference only (not fetched),(regulatory),CL1 SPV OSOM map for VIC,low,true,
SRC-056,https://www.vicroads.vic.gov.au/-/media/files/documents/business-and-industry/heavy-vehicle-maps/information-sheet---crane-network.ashx,VicRoads,2026-05-11,Reference only (not fetched),(regulatory),VIC 6-to-9-axle crane network info sheet,low,true,
SRC-057,https://tca.gov.au/scheme/tma-special-purpose-vehicle-monitoring-schemes-nsw/,TCA,2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),TMA SPV Monitoring Schemes NSW,medium,true,Telematics certification authority.

SRC-070,https://www.trtaustralia.com.au/trailers/crane-trailers/crane-support-trailers/,trailer manufacturer (AU),2026-05-11,WebSearch (WebFetch blocked 403),(transport / market),"TRT crane support trailers; 3-axle counterweight semi-trailers with payloads up to ~30 t with low tare",medium,true,"Single supplier; not a market-wide payload limit. Per-customer fleet/contract value required."
SRC-071,https://www.austateservices.com.au/counterweight-trailers,trailer supplier (AU),2026-05-11,WebSearch (WebFetch blocked 403),(transport / market),auSTATE Counterweight Trailers,low-medium,false,
SRC-072,https://www.iseekplant.com.au/crane-hire,marketplace (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Crane hire quote aggregator; 10 suppliers/quote; field set (load weight, radius, site, dates, access),medium,false,
SRC-073,https://cranelift.au/crane-hire-rates-australia/,industry guide (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Quote fields and Australian rates guide 2026,medium,false,
SRC-074,https://www.felix.net/project-news/crane-hire-rates-in-australia-a-comprehensive-guide,industry guide (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),"Itemised quote: mobilisation, demobilisation, standby, crew, overtime, fuel, GST",medium,false,
SRC-075,https://universalcranes.com/our-fleet/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Universal Cranes 150 t crane: 66 m boom 72 m radius 92 m hook height,medium,false,
SRC-076,https://www.cranecorpaustralia.com.au/services/crane-hire/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Cranecorp wet hire 2 h min; inclusions: lift study site advice mobilisation,medium,false,
SRC-077,https://wanneroocranehire.com.au/crane-hire-perth/crane-hire-prices/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Wanneroo Crane Hire prices and inclusions,medium,false,
SRC-078,https://aorcranes.com.au/dry-hire-and-wet-hire-in-crane-rental/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),AOR wet vs dry hire definition; 99% wet incl. operator + dogman/rigger,medium,false,
SRC-079,https://www.hilinecranes.com.au/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),HiLine Sydney 24/7,low,false,
SRC-080,https://www.aglcranes.com.au/all-terrain-crane-hire,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),AGL All-Terrain Crane Hire Adelaide / Regional SA,low,false,
SRC-081,https://www.abccranehire.com.au/planning-your-2026-build-how-to-budget-for-crane-hire-early/,hire company (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),ABC Crane Hire 2026 build budgeting guidance,low,false,
SRC-082,https://australiancranes.com.au/the-complete-guide-to-all-terrain-crane-hire-in-australia/,industry guide (AU),2026-05-11,WebSearch (WebFetch blocked 403),(quote pattern),Australian all-terrain crane hire guide,medium,false,
SRC-083,https://www.tegral.com.au/nhvr-fast-tracks-higher-mass-limits-for-heavy-vehicle-operators/,industry-news (AU),2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),NHVR fast-tracks HML for heavy vehicle operators 2026,low-medium,true,
SRC-084,https://www.ntc.gov.au/sites/default/files/assets/files/Heavy%20Vehicle%20(Mass,%20Dimension%20and%20Loading)%20National%20Regulation%20Amendment%20consultation%20overview_0.pdf,NTC,2026-05-11,Reference only (not fetched),(regulatory),NTC consultation paper on MDL National Regulation amendments,low,true,
SRC-085,https://warningsystems.com.au/pilot-vehicle-requirements/,industry guide (AU),2026-05-11,WebSearch (WebFetch blocked 403),(regulatory),Pilot vehicle requirements in Australia,low-medium,true,Industry summary site.
SRC-086,https://www.advanceglobal.com.au/wp-content/uploads/2019/06/201809-0902-pilot-and-escort-requirements.pdf,industry document (AU),2026-05-11,Reference only (not fetched),(regulatory),Pilot and Escort Requirements info sheet,low,true,
SRC-087,https://www.nhvr.gov.au/files/media/document/229/202509-0902-pilots-and-escort-training-and-recognition.pdf,NHVR,2026-05-11,Reference only (not fetched),(regulatory),Pilot and escort recognition and training info sheet,low,true,

SRC-100,N/A,methodology,2026-05-11,N/A,(meta),"Note: in this research environment, WebFetch and direct curl returned HTTP 403 for nhvr.gov.au, manitowoc.com, .com.au crane-hire fleet pages, TRT, and the PDF datasheets. All findings were corroborated via WebSearch result extracts citing the same URLs above. Confidence ratings reflect this constraint. Every URL is intact and should be re-verified on a non-restricted network before any LIFTIQ rule encodes a number.",N/A,true,"Honesty note for the user. Per directive 2026-05-11: travel-state-level confidence and review_required gates are now per-row, not per-source."
SRC-101,N/A,methodology,2026-05-11,N/A,(meta — L vs L-1 correction),"Per CEO/operator directive 2026-05-11: the GMK5150L's 16.5 t/axle reduced heavy-roadable state is recorded as 24.0 t (review-gated, exact-model brochure attribution required), while the GMK5150L-1's equivalent state is 30.9 t (multi-source supported for the L-1 variant). LIFTIQ must not generalise either value across both variants.",N/A,false,Decision record for traceability.
